,lat,lng,views,dbscan
0,61.477005,-149.162751,472,0
1,61.477041,-149.162731,478,0
2,61.477005,-149.162751,438,0
3,61.477005,-149.162751,391,0
4,50.015399,-96.867474,574,1
5,50.01533,-96.867302,390,1
6,44.477939,-106.771842,561,2
7,60.847697,-148.9909,413,3
8,60.847872,-148.990684,555,3
9,65.320366,-147.461062,638,4
10,63.762734,-145.787318,2195,5
11,64.847751,-147.407984,2530,4
12,63.371852,-148.818839,1400,6
13,63.371852,-148.818839,897,6
14,63.371852,-148.818839,1933,6
15,63.371852,-148.818839,776,6
16,63.371852,-148.818839,655,6
17,63.371852,-148.818839,1137,6
18,63.371852,-148.818839,1373,6
19,63.371852,-148.818839,628,6
20,63.371852,-148.818839,671,6
21,63.371852,-148.818839,1374,6
22,61.507119,-149.004659,1351,0
23,61.507119,-149.004659,935,0
24,61.507133,-149.004564,982,0
25,61.509186,-148.995681,1038,0
26,61.507119,-149.004659,1004,0
27,61.506816,-149.034103,1068,0
28,61.509036,-148.994487,639,0
29,61.508647,-148.995439,1157,0
30,64.769599,-147.224178,2122,4
31,64.769599,-147.224178,2463,4
32,64.769599,-147.224178,2096,4
33,61.508833,-148.994462,671,0
34,63.676898,-145.884425,1922,5
35,63.718489,-145.862206,827,5
36,63.762734,-145.787318,2107,5
37,63.762734,-145.787318,1785,5
38,63.762734,-145.787318,2128,5
39,63.762734,-145.787318,831,5
40,63.762734,-145.787318,1242,5
41,64.911658,-147.828769,2246,4
42,64.911658,-147.828769,2003,4
43,64.911658,-147.828769,2557,4
44,64.911658,-147.828769,1635,4
45,64.847751,-147.407984,1498,4
46,61.509036,-148.994487,9162,0
47,61.505283,-149.018028,933,0
48,61.505244,-149.01795,1621,0
49,61.505286,-149.018075,841,0
50,47.460007,-88.159747,1164,7
51,47.460007,-88.159747,1567,7
52,62.465677,-114.34775,2208,8
53,62.465677,-114.34775,1993,8
54,62.465677,-114.34775,1606,8
55,44.90472,-107.013959,990,9
56,44.90472,-107.013959,929,9
57,46.997438,-111.096839,858,-1
58,46.997438,-111.096839,1271,-1
59,47.225795,-109.193254,2314,10
60,47.225795,-109.193254,1444,10
61,47.225795,-109.193254,605,10
62,47.225795,-109.193254,1241,10
63,44.449513,-68.015031,1564,11
64,44.449522,-68.014987,262,11
65,63.851058,-149.004303,3596,12
66,47.225795,-109.193254,1946,10
67,63.514316,-150.904017,831,13
68,63.514266,-150.90395,1131,13
69,63.514266,-150.90395,984,13
70,47.003262,-90.93747,42,14
71,47.00326,-90.937488,34,14
72,47.003242,-90.937512,33,14
73,47.003215,-90.937583,31,14
74,47.003183,-90.937616,30,14
75,47.225795,-109.193254,708,10
76,47.003188,-90.937488,33,14
77,47.00319,-90.937498,33,14
78,47.003202,-90.93757,34,14
79,47.003212,-90.937603,35,14
80,47.003252,-90.937585,35,14
81,33.898311,-86.346009,378,-1
82,44.845602,-88.736645,1335,-1
83,44.845683,-88.736578,6772,-1
84,44.481672,-106.767325,784,2
85,44.481672,-106.767325,896,2
86,44.481672,-106.767325,567,2
87,44.481672,-106.767325,649,2
88,58.76588,-94.164956,1321,-1
89,44.426669,-76.848313,1616,15
90,44.426669,-76.848313,1755,15
91,45.424118,-75.69903,249,16
92,45.424118,-75.69903,263,16
93,44.627679,-107.084126,873,9
94,44.617287,-107.075908,1786,9
95,44.62898,-107.137212,512,9
96,44.62898,-107.137212,1585,9
97,44.62898,-107.137212,2356,9
98,38.892753,-77.022786,148,17
99,38.892753,-77.022786,145,17
100,38.892753,-77.022786,115,17
101,38.892753,-77.022786,93,17
102,38.892753,-77.022786,293,17
103,38.892753,-77.022786,44,17
104,38.892753,-77.022786,285,17
105,38.892753,-77.022786,98,17
106,38.892753,-77.022786,66,17
107,38.892753,-77.022786,56,17
108,38.892753,-77.022786,57,17
109,38.892753,-77.022786,57,17
110,38.892753,-77.022786,57,17
111,38.892753,-77.022786,43,17
112,38.892753,-77.022786,41,17
113,44.825393,-107.060973,1514,9
114,44.822724,-107.053474,1033,9
115,44.481774,-106.766992,573,2
116,44.481774,-106.766992,1378,2
117,44.481774,-106.766992,770,2
118,62.461777,-114.3481,2407,8
119,62.461777,-114.3481,2326,8
120,62.461777,-114.3481,2237,8
121,62.461777,-114.3481,1961,8
122,62.310011,-150.105523,1614,18
123,62.310319,-150.105767,572,18
124,61.711322,-148.849795,556,0
125,61.711202,-148.851245,573,0
126,61.711605,-148.850975,510,0
127,61.711202,-148.851245,1327,0
128,61.711208,-148.913295,598,0
129,61.499547,-149.047678,752,0
130,61.499438,-149.047867,1004,0
